name,formula,category,subcategory,density,thermal_conductivity,yield_strength,tensile_strength,youngs_modulus,hardness_vickers,thermal_expansion,electrical_resistivity,notes,source,mp_material_id,fracture_toughness,weibull_modulus
Alumina Al2O3 99%,Al2O3,Ceramic,Oxide,3.95,30.0,,260.0,370.0,1500.0,8.1,10000000000.0,,Curated,,6.0,
Silicon Carbide SiC,SiC,Ceramic,Carbide,3.21,120.0,,400.0,410.0,2800.0,4.0,10000.0,,Curated,,3.5,
Silicon Nitride Si3N4,Si3N4,Ceramic,Nitride,3.19,25.0,,600.0,300.0,1700.0,3.2,1000000000000.0,,Curated,,5.0,
Zirconia ZrO2 (Stabilized),ZrO2,Ceramic,Oxide,6.05,2.0,,800.0,210.0,1200.0,10.5,1000000000000.0,,Curated,,600.0,
Boron Carbide B4C,B4C,Ceramic,Carbide,2.52,30.0,,350.0,450.0,3000.0,5.0,0.3,,Curated,,3.0,
Magnesia MgO,MgO,Ceramic,Oxide,3.58,48.0,,100.0,248.0,750.0,13.5,10000000000000.0,,Curated,,,
Tungsten Carbide WC,WC,Ceramic,Carbide,15.63,110.0,,1700.0,696.0,2400.0,5.5,2e-07,,Curated,,,
Aluminium Nitride AlN,AlN,Ceramic,Nitride,3.26,170.0,,300.0,320.0,1200.0,4.6,100000000000.0,,Curated,,,
Titanium Nitride TiN,TiN,Ceramic,Nitride,5.22,19.0,,,600.0,2100.0,9.4,2.5e-07,,Curated,,,
Titania TiO2 (Rutile),TiO2,Ceramic,Oxide,4.26,8.0,,100.0,290.0,1100.0,8.2,1000000.0,,Curated,,,
Cordierite Mg2Al4Si5O18,Mg2Al4Si5O18,Ceramic,Oxide,2.51,3.5,,,135.0,,1.5,1000000000000.0,,Curated,,,
Borosilicate Glass,SiO2-B2O3,Ceramic,Glass,2.23,1.2,,60.0,63.0,520.0,3.3,100000000.0,,Curated,,,
Fused Silica SiO2,SiO2,Ceramic,Glass,2.2,1.38,,50.0,72.0,1100.0,0.55,1e+16,,Curated,,,
Hydroxyapatite,Ca10(PO4)6(OH)2,Ceramic,Bioceramic,3.16,1.3,,40.0,117.0,600.0,11.5,10000000000.0,,Curated,,,
Graphite Isotropic,C,Ceramic,Carbon,1.81,120.0,,50.0,10.0,,4.0,1.3e-05,,Curated,,,
TiCuSiAs,TiCuSiAs,Ceramic,Mixed,5.956,,,,,,,,JVASP-90856,JARVIS dft_3d (scraped),,,
DyB6,DyB6,Ceramic,Boride,5.522,,,,,,,,JVASP-86097,JARVIS dft_3d (scraped),,,
TbMnSi,TbMnSi,Ceramic,Mixed,7.41,,,,,,,,JVASP-14014,JARVIS dft_3d (scraped),,,
SrFeO3,SrFeO3,Ceramic,Oxide,5.836,,,,,,,,JVASP-22556,JARVIS dft_3d (scraped),,,
MoW3Se2S6,MoW3Se2S6,Ceramic,Mixed,5.388,,,,,,,,JVASP-28634,JARVIS dft_3d (scraped),,,
Ba4CeMn3O12,Ba4CeMn3O12,Ceramic,Oxide,6.138,,,,,,,,JVASP-98550,JARVIS dft_3d (scraped),,,
Fe2SiO4,Fe2SiO4,Ceramic,Oxide,4.438,,,,,,,,JVASP-89265,JARVIS dft_3d (scraped),,,
Ba14Na14LiN6,Ba14Na14LiN6,Ceramic,Nitride,2.887,,,,,,,,JVASP-97915,JARVIS dft_3d (scraped),,,
Ag2IO6,Ag2IO6,Ceramic,Oxide,5.588,,,,,,,,JVASP-90228,JARVIS dft_3d (scraped),,,
Li4Mn3Cr3O12,Li4Mn3Cr3O12,Ceramic,Oxide,4.401,,,,,,,,JVASP-42300,JARVIS dft_3d (scraped),,,
CdAs2O6,CdAs2O6,Ceramic,Oxide,5.765,,,,,,,,JVASP-86968,JARVIS dft_3d (scraped),,,
FeOF,FeOF,Ceramic,Oxide,4.758,,,,,,,,JVASP-90532,JARVIS dft_3d (scraped),,,
Na2CuO2,Na2CuO2,Ceramic,Oxide,3.544,,,,,,,,JVASP-50332,JARVIS dft_3d (scraped),,,
Mo3WSe6S2,Mo3WSe6S2,Ceramic,Mixed,5.106,,,,,,,,JVASP-28704,JARVIS dft_3d (scraped),,,
PdSe8Cl2,PdSe8Cl2,Ceramic,Mixed,4.471,,,,,,,,JVASP-60702,JARVIS dft_3d (scraped),,,
Te2Mo2WSe2S2,Te2Mo2WSe2S2,Ceramic,Mixed,4.974,,,,,,,,JVASP-28565,JARVIS dft_3d (scraped),,,
LiSbF6,LiSbF6,Ceramic,Mixed,3.997,,,,,,,,JVASP-86436,JARVIS dft_3d (scraped),,,
SrB6,SrB6,Ceramic,Boride,3.439,,,,295.0195324675325,,,,JVASP-14873,JARVIS dft_3d (scraped),,,
SiS,SiS,Ceramic,Non-Oxide,0.633,,,,12.81503355704698,,,,JVASP-28397,JARVIS dft_3d (scraped),,,
Na2Si2Se5,Na2Si2Se5,Ceramic,Mixed,3.419,,,,,,,,JVASP-89025,JARVIS dft_3d (scraped),,,
LiMn5O3F5,LiMn5O3F5,Ceramic,Oxide,4.019,,,,65.0098578199052,,,,JVASP-48166,JARVIS dft_3d (scraped),,,
YCoC2,YCoC2,Ceramic,Carbide,5.909,,,,250.80591035490409,,,,JVASP-15345,JARVIS dft_3d (scraped),,,
TbTaO4,TbTaO4,Ceramic,Oxide,8.922,,,,,,,,JVASP-97984,JARVIS dft_3d (scraped),,,
FeH8Cl2O4,FeH8Cl2O4,Ceramic,Oxide,2.081,,,,,,,,JVASP-98167,JARVIS dft_3d (scraped),,,
K4MnMo4O15,K4MnMo4O15,Ceramic,Oxide,3.689,,,,,,,,JVASP-97499,JARVIS dft_3d (scraped),,,
Xe,Xe,Ceramic,Elemental,3.762,,,,6.9707865168539325,,,,JVASP-21210,JARVIS dft_3d (scraped),,,
Rb2GeB4O9,Rb2GeB4O9,Ceramic,Oxide,3.296,,,,,,,,JVASP-97677,JARVIS dft_3d (scraped),,,
Na2Cr2O7,Na2Cr2O7,Ceramic,Oxide,2.796,,,,,,,,JVASP-97570,JARVIS dft_3d (scraped),,,
Ce3Si8Ni2,Ce3Si8Ni2,Ceramic,Mixed,5.572,,,,,,,,JVASP-98036,JARVIS dft_3d (scraped),,,
SrV4Bi6O20,SrV4Bi6O20,Ceramic,Oxide,6.695,,,,,,,,JVASP-98088,JARVIS dft_3d (scraped),,,
RbVF3,RbVF3,Ceramic,Mixed,4.54,,,,94.4163080710392,,,,JVASP-22587,JARVIS dft_3d (scraped),,,
